"Reaction KEGG ID","Reactants","Products","Reversability","EC list","Occurences","Names"
"R01205","C00052|C00140","C00015|C00611","1","2.4.1.90","0","UDP-alpha-D-galactose:N-acetyl-D-glucosamine 4-beta-D-galactosyltransferase"
"R01206","C00461|C00001","C00140|C00461","1","3.2.1.14","1","[1,4-(N-Acetyl-beta-D-glucosaminyl)]n glycanohydrolase"
"R01207","C00140","C00645","1","5.1.3.8","1","N-acetyl-D-glucosamine 2-epimerase"
"R01209","C04039","C00141|C00001","1","4.2.1.9","1","2,3-Dihydroxy-3-methylbutanoate hydro-lyase"
"R01210","C00141|C00010|C00003","C00630|C00011|C00004|C00080","1","1.2.1.25","0","3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)"
"R01211","C01088|C00003","C00141|C00011|C00004|C00080","1","1.1.1.84","1","(R)-3,3-Dimethylmalate:NAD+ oxidoreductase (decarboxylating)"
"R01212","C00183|C00006|C00001","C00141|C00014|C00005|C00080","1","1.4.1.8","0","L-valine:NADP+ oxidoreductase (deaminating)"
"R01213","C02504|C00010","C00024|C00141|C00001","1","2.3.3.13","6","acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)|acetyl-CoA:3-methyl-2-oxobutanoate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)|3-Carboxy-3-hydroxy-4-methylpentanoate 3-methyl-2-oxobutanoate-lyase (CoA-acetylating)"
"R01214","C00183|C00026","C00141|C00025","1","2.6.1.6|2.6.1.42","8","L-Valine:2-oxoglutarate aminotransferase"
"R01215","C00183|C00022","C00141|C00041","1","2.6.1.66","3","L-Valine:pyruvate aminotransferase"
"R01216","C00966","C00141|C00067","1","2.1.2.11|4.1.2.12","0","2-dehydropantoate formaldehyde-lyase (3-methyl-2-oxobutanoate-forming)"
"R01217","C00143|C00138|C00080","C00440|C00139","1","1.5.7.1","2","5-methyltetrahydrofolate:ferredoxin oxidoreductase"
"R01218","C00143|C00003","C00445|C00004","1","1.5.1.15","2","5,10-methylenetetrahydrofolate:NAD+ oxidoreductase"
"R01220","C00143|C00006","C00445|C00005","1","1.5.1.5","5","5,10-methylenetetrahydrofolate:NADP+ oxidoreductase"
"R01221","C00037|C00101|C00003","C00143|C00014|C00011|C00004|C00080","1","1.4.4.2|1.8.1.4|2.1.2.10","3","glycine synthase|glycine synthase|glycine cleavage system"
"R01224","C00440|C00006","C00143|C00005|C00080","1","1.5.1.20","3","5-methyltetrahydrofolate:NADP+ oxidoreductase"
"R01225","C00143|C00133|C00001","C00101|C02115","1","2.1.2.7","2","5,10-Methylenetetrahydrofolate:D-alanine 2-hydroxymethyltransferase"
"R01226","C00143|C00141|C00001","C00101|C00966","1","2.1.2.11","3","5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase"
"R01227","C00144|C00001","C00387|C00009","1","3.1.3.5","2","guanosine 5'-monophosphate phosphohydrolase"
"R01228","C00002|C00387","C00008|C00144","1","2.7.1.73","1","ATP:guanosine 5'-phosphotransferase"
"R01229","C00144|C00013","C00242|C00119","1","2.4.2.7|2.4.2.8|2.4.2.22","2","GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase"
"R01230","C00002|C00655|C00014","C00020|C00013|C00144","1","6.3.5.2","2","Xanthosine-5'-phosphate:ammonia ligase (AMP-forming)"
"R01231","C00002|C00655|C00064|C00001","C00020|C00013|C00144|C00025","1","6.3.5.2","2","Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)"
"R01232","C01261|C00001","C00044|C00144","1","3.6.1.17","1","P1,P4-bis(5'-guanosyl)-tetraphosphate guanylylhydrolase"
"R01233","C00394|C00001","C00144|C00103","1","3.6.1.21","1","GDPglucose sugarphosphohydrolase"
"R01234","C00942|C00001","C00144","1","3.1.4.17|3.1.4.35","1","Guanosine 3',5'-cyclic phosphate 5'-nucleotidohydrolase"
"R01235","C00145|C00019","C20791|C00021","1","2.1.1.9","0","S-adenosyl-L-methionine:thiol S-methyltransferase"
"R01236","C00053|C00145","C00054|C02885","1","2.8.2.16","0","3'-Phosphoadenylylsulfate:thiol S-sulfotransferase"
"R01237","C02085|C00001","C00145|C11477","1","3.2.1.147","0","Thioglucoside glucohydrolase"
"R01238","C00156","C00146|C00011","1","4.1.1.61","3","4-hydroxybenzoate carboxy-lyase (phenol-forming)"
"R01239","C00019|C00146","C00021|C01403","1","2.1.1.25","0","S-Adenosyl-L-methionine:phenol O-methyltransferase"
"R01240","C00029|C15584","C00015|C03097","1","2.4.1.35","0","UDP-glucose:phenol beta-D-glucosyltransferase"
"R01241","C00146|C00033","C00548|C00001","1","3.1.1.2","0","phenyl acetate acetylhydrolase"
"R01242","C00053|C15584","C00054|C00850","1","2.8.2.1","0","3'-Phosphoadenylylsulfate:phenol sulfotransferase"
"R01243","C00850|C00001","C15584|C00059","1","3.1.6.1","0","aryl-sulfate sulfohydrolase"
"R01244","C00147|C00001","C00262|C00014","1","3.5.4.2","2","Adenine aminohydrolase"
"R01245","C00212|C00001","C00147|C00121","1","3.2.2.1|3.2.2.7|3.2.2.8","2","Adenosine ribohydrolase"
"R01246","C00148|C00003","C03564|C00004|C00080","1","1.5.1.1","1","L-proline:NAD+ 2-oxidoreductase"
"R01248","C00148|C00003","C03912|C00004|C00080","1","1.5.1.2","4","L-Proline:NAD+ 5-oxidoreductase"
"R01249","C00148|C00006","C03564|C00005|C00080","1","1.5.1.1","1","L-proline:NADP+ 2-oxidoreductase"
"R01251","C00148|C00006","C03912|C00005|C00080","1","1.5.1.2","4","L-Proline:NADP+ 5-oxidoreductase"
"R01252","C00148|C00026|C00007","C01157|C00042|C00011","1","1.14.11.2","2","L-Proline,2-oxoglutarate:oxygen oxidoreductase (4-hydroxylating)"
"R01253","C00148|C15602","C03912|C15603","1","1.5.5.2","3","L-proline:quinone oxidoreductase"
"R01255","C00148","C00763","1","5.1.1.4","2","proline racemase"
"R01256","C00002|C00149|C00010","C00008|C00009|C04348","1","6.2.1.9","4","(S)-Malate:CoA ligase (ADP-forming)"
"R01257","C00149|C00016","C00036|C01352","1","1.1.5.4","1","(S)-Malate:FAD oxidoreductase"
"R01258","C00151|C00003|C00001","C00161|C00014|C00004|C00080","1","1.4.1.5","0","L-amino-aicd:NAD+ oxidoreductase (deaminating)"
"R01259","C00151|C00001|C00007","C00161|C00014|C00027","1","1.4.3.2","0","L-Amino-acid:oxygen oxidoreductase (deaminating)"
"R01260","C00151|C00007|C00005","C05710|C00006|C00001","1","1.14.13.-","1","L-amino acid,NADPH:oxygen oxidoreductase (N-hydroxylating)"
"R01261","C00041|C00161","C00022|C00151","1","2.6.1.12","0","L-Alanine:2-oxo-acid aminotransferase"
"R01262","C00051|C00151","C01419|C03740","1","2.3.2.2","1","glutathione:L-amino-acid 5-glutamyltransferase"
"R01263","C02850|C00001","C00060|C00151","1","3.5.1.14","0","N-Acyl-L-amino-acid amidohydrolase"
"R01264","C03148|C00001|C00007","C00151|C00067|C00027","1","1.5.3.2","0","N-Methyl-L-amino-acid:oxygen oxidoreductase (demethylating)"
"R01265","C00151","C00405","1","5.1.1.10","0","amino-acid racemase"
"R01266","C04540|C00001","C00140|C00152","1","3.2.2.11","0","1-beta-Aspartyl-N-acetyl-D-glucosaminylamine L-asparaginohydrolase"
"R01267","C00152","C02512|C00001","1","3.5.5.4|4.2.1.65","2","L-asparagine hydro-lyase (3-cyanoalanine-forming)"
"R01268","C00153|C00001","C00253|C00014","1","3.5.1.19","2","Nicotinamide amidohydrolase"
"R01269","C00019|C00153|C00080","C00021|C02918","1","2.1.1.1","2","S-Adenosyl-L-methionine:nicotinamide N-methyltransferase"
"R01270","C00455|C00001","C00153|C00117","1","3.2.2.14","1","Nicotinamide D-ribonucleotide phosphoribohydrolase"
"R01271","C00455|C00013","C00153|C00119","1","2.4.2.12","2","nicotinamide-D-ribonucleotide:diphosphate phospho-alpha-D-ribosyltransferase"
"R01273","C03150|C00001","C00153|C00121","1","3.2.2.1|3.2.2.3","1","N-ribosylnicotinamide ribohydrolase"
"R01274","C00154|C00001","C00010|C00249","1","3.1.2.2|3.1.2.22","4","palmitoyl-CoA hydrolase"
"R01277","C00517|C00010|C00003","C00154|C00004|C00080","1","1.2.1.42","0","hexadecanal:NAD+ oxidoreductase (CoA-acylating)"
"R01278","C00154|C00006","C05272|C00005|C00080","1","1.3.1.8|1.3.1.38","3","hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase|hexadecanoyl-CoA:NADP+ trans-2-oxidoreductase|trans-Hexadec-2-enoyl-CoA reductase"
"R01279","C00154|C00016","C05272|C01352","1","1.3.3.6|1.3.8.7|1.3.8.8|1.3.8.9||1.3.99.-","3","palmitoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase"
"R01280","C00002|C00249|C00010","C00020|C00154|C00013","1","6.2.1.3","4","Palmitate:CoA ligase (AMP-forming)"
"R01281","C00154|C00065","C02934|C00010|C00011","1","2.3.1.50","2","Palmitoyl-CoA:L-serine C-palmitoyltransferase (decarboxylating)"
"R01282","C00154|C00028","C05272|C00030","1","","0",""
"R01283","C00155|C00001","C00283|C00014|C00109","1","4.4.1.2","1","L-homocysteine hydrogen-sulfide-lyase (deaminating 2-oxobutanoate-forming)"
"R01286","C02291|C00001","C00155|C00014|C00022","1","4.4.1.8","4","L-cystathionine L-homocysteine-lyase (deaminating pyruvate-forming)"
