"Reaction KEGG ID","Reactants","Products","Reversability","EC list","Occurences","Names"
"R00001","C00404|C00001","C02174","1","3.6.1.10","0","polyphosphate polyphosphohydrolase"
"R00002","C00002|C00001|C00138","C05359|C00009|C00008|C00139","1","1.18.6.1","0","Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"
"R00004","C00013|C00001","C00009","1","3.6.1.1","0","diphosphate phosphohydrolase|diphosphate phosphohydrolase|pyrophosphate phosphohydrolase"
"R00005","C01010|C00001","C00011|C00014","1","3.5.1.54","4","urea-1-carboxylate amidohydrolase"
"R00006","C00900|C00011","C00022","1","2.2.1.6","1","pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|2-acetolactate pyruvate-lyase (carboxylating)"
"R00008","C06033","C00022","1","4.1.3.17","3","4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)"
"R00009","C00027","C00007|C00001","1","1.11.1.6|1.11.1.21","2","hydrogen-peroxide:hydrogen-peroxide oxidoreductase"
"R00010","C01083|C00001","C00031","1","3.2.1.28","2","alpha,alpha-trehalose glucohydrolase"
"R00011","C19610|C00027|C00080","C19611|C00001","1","1.11.1.13","0","Mn(II):hydrogen-peroxide oxidoreductase"
"R00012","C00044","C00013|C01261","1","2.7.7.45","0","GTP:GTP guanylyltransferase"
"R00013","C00048","C01146|C00011","1","4.1.1.47","2","glyoxylate carboxy-lyase (dimerizing tartronate-semialdehyde-forming)"
"R00014","C00022|C00068","C05125|C00011","1","1.2.4.1|2.2.1.6|4.1.1.1","5","pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)"
"R00015","C00089","C00031|C03661","1","2.4.1.99","0","sucrose:sucrose 1'-beta-D-fructosyltransferase|sucrose:sucrose 1'-beta-D-fructosyltransferase|sucrose:sucrose 1F-beta-D-fructosyltransferase"
"R00017","C00027|C00126","C00125|C00001","1","1.11.1.5","0","ferrocytochrome-c:hydrogen-peroxide oxidoreductase"
"R00018","C00134","C06366|C00014","1","2.5.1.44","2","putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)"
"R00019","C00138|C00080","C00282|C00139","1","1.12.7.2|1.12.99.-","0","hydrogen:ferredoxin oxidoreductase|hydrogen:ferredoxin oxidoreductase|reduced ferredoxin:H+ oxidoreductase"
"R00021","C00025|C00139","C00064|C00026|C00138|C00080","1","1.4.7.1","3","L-glutamate:ferredoxin oxidoreductase (transaminating)"
"R00022","C01674|C00001","C00140","1","3.2.1.52","2","chitobiose N-acetylglucosaminohydrolase"
"R00023","C00192|C00003","C01818|C00004|C00080","1","1.7.1.5","0","hydroxylamine:NAD+ oxidoreductase|hydroxylamine:NAD+ oxidoreductase|NADH:hyponitrite oxidoreductase"
"R00024","C01182|C00011|C00001","C00197","1","4.1.1.39","4","3-phospho-D-glycerate carboxy-lyase (dimerizing D-ribulose-1,5-bisphosphate-forming)"
"R00025","C18091|C00007|C01847","C00084|C00088|C00061|C00001","1","1.13.12.16","1","ethylnitronate:oxygen 2-oxidoreductase (nitrite-forming)"
"R00026","C00185|C00001","C00221","1","3.2.1.21","2","cellobiose glucohydrolase"
"R00027","C01408","C00261","1","4.1.2.38","0","2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)"
"R00028","C00208|C00001","C00267","1","3.2.1.20","2","maltose glucohydrolase"
"R00029","C00320|C00125","C02084|C00126","1","1.8.2.2","0","thiosulfate:ferricytochrome-c oxidoreductase"
"R00031","C00007|C00082","C00355","1","1.10.3.1|1.14.18.1","4","1,2-benzenediol:oxygen oxidoreductase"
"R00032","C02094|C00007","C00376","1","1.13.11.63|1.14.99.36","2","beta-carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)"
"R00033","C00378|C00007","C00027|C05856","1","1.1.3.23","2","thiamine:oxygen 5-oxidoreductase"
"R00034","C03103","C08249","1","4.1.99.3","0","Cyclobutadipyrimidine (in DNA) pyrimidine-lyase"
"R00036","C00430","C00931|C00001","1","4.2.1.24","3","5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing porphobilinogen-forming)"
"R00038","C00479","C02948","1","4.1.2.35","0","4-hydroxy-3-hexanone propanal-lyase (propanal-forming)"
"R00039","C00492","C08242|C00089","1","2.4.1.166","0","raffinose:raffinose 1F-alpha-D-galactosyltransferase"
"R00041","C00339|C00007","C00609|C00001","1","1.1.3.20","0","long-chain-alcohol:oxygen oxidoreductase"
"R00042","C01179|C00007","C00642|C00011","1","1.2.3.13","1","4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)"
"R00043","C04547|C00007","C00755","1","1.13.11.43","0","1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)"
"R00044","C01795|C00007","C00757|C00001","1","1.21.3.2","2","columbamine:oxygen oxidoreductase (cyclizing)"
"R00045","C00007|C00355","C00822|C00001","1","1.10.3.1|1.14.18.1","2","3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase"
"R00047","C00007|C01020|C00030","C01059|C00011|C00028|C00001","1","1.14.99.-","0","6-hydroxynicotinate,hydrogen-donor:oxygen oxidoreductase (3-hydroxylating, decarboxylating)"
"R00048","C04546|C00001","C01089","1","3.1.1.22","1","(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase"
"R00049","C01158","C00031|C04101","1","2.3.1.90","0","1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase"
"R00052","C00027|C01371|C01327","C01334|C00001","1","1.11.1.10","0","chloride:hydrogen-peroxide oxidoreductase"
"R00053","C01572|C00001","C01424","1","3.1.1.20","0","digallate acylhydrolase|digallate acylhydrolase|tannin acylhydrolase"
"R00054","C02868|C00001","C01839","1","3.1.1.40","0","orsellinate-depside hydrolase"
"R00055","C00294|C00007","C01993|C00001","1","1.1.3.28","0","inosine:oxygen 5'-oxidoreductase"
"R00056","C01910|C00001","C02171","1","3.6.1.9","0","dinucleotide nucleotidohydrolase"
"R00057","C00007|C01525","C02318|C00027","1","1.8.3.2","0","thiol:oxygen oxidoreductase"
"R00058","C00007|C00090","C02351|C00001","1","1.10.3.1|1.14.18.1","0","catechol:oxygen oxidoreductase|catechol:oxygen oxidoreductase|1,2-benzenediol:oxygen oxidoreductase"
"R00059","C01255|C00001","C02378","1","3.5.1.46","0","N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase"
"R00060","C00007|C00495","C03036|C00001","1","1.21.3.4","0","Sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)"
"R00061","C00007|C00495","C03040|C00001","1","1.21.3.5","0","Sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)"
"R00062","C03374","C00486|C05787","1","2.4.1.95","0","bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase"
"R00063","C01175","C04275|C00031","1","2.3.1.103","0","1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase|1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase|1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase"
"R00066","C04332","C00255|C04732","1","2.5.1.9","2","6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase"
"R00067","C05359|C00080","C00282","1","1.18.6.1","0","Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"
"R00068","C00007|C00072","C05422|C00001","1","1.10.3.3","2","L-ascorbate:oxygen oxidoreductase"
"R00069","C05565|C00027","C03680|C00007|C00001","1","1.14.13.-|1.17.3.2","1","4-imidazolone-5-propanoate:oxygen oxidoreductase"
"R00070","C05791|C00007","C05795|C00001","1","","1","D-urobilinogen:oxygen oxidoreductase"
"R00072","C05856|C00007|C00001","C00027|C02892","1","1.1.3.23","2","thiamine-aldehyde:oxygen 5-oxidoreductase"
"R00073","C00427|C00028|C00001","C05956|C00030","1","1.14.99.1","2","reduced acceptor:prostaglandin G2 oxidoreductase"
"R00074","C01987|C00007","C02161|C00001","1","1.10.3.4","1","2-aminophenol:oxygen oxidoreductase (dimerizing)"
"R00075","C00019","C00170|C05324","1","2.5.1.43","0","S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase"
"R00076","C00002|C02308","C00008|C02307","1","2.7.11.19","0","ATP:phosphorylase-b phosphotransferase|ATP:phosphorylase-b phosphotransferase|ATP:[glycogen phosphorylase] phosphotransferase"
"R00077","C02307|C00001","C02308|C00009","1","3.1.3.17","0","[Phosphorylase a] phosphohydrolase|[Phosphorylase a] phosphohydrolase|[glycogen phosphorylase] phosphohydrolase"
"R00078","C00007|C14818|C00080","C14819|C00001","1","1.16.3.1","1","Fe(II):oxygen oxidoreductase|Fe(II):oxygen oxidoreductase|Fe2+:oxygen oxidoreductase"
"R00080","C00090|C00007","C00001|C03861","1","1.1.3.14|1.10.3.1","0","Catechol:oxygen oxidoreductase (dimerizing)"
"R00081","C00007|C00126|C00080","C00125|C00001","1","1.7.2.1|1.9.3.1","0","Ferrocytochrome-c:oxygen oxidoreductase"
"R00082","C00007|C01000","C00997|C00001","1","1.7.2.1|1.9.3.1","0","Ferrocytochrome c2:oxygen oxidoreductase"
"R00083","C00007|C01785","C05309|C00001","1","1.10.3.2","0","Benzenediol:oxygen oxidoreductase"
"R00084","C00931|C00001","C01024|C00014","1","2.5.1.61","3","porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)|porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)|porphobilinogen ammonia-lyase (polymerizing)"
"R00085","C00002|C00001","C00020|C00009","1","3.6.1.5","0","ATP diphosphohydrolase (phosphate-forming)"
"R00086","C00002|C00001","C00008|C00009","1","3.6.1.3|3.6.1.5|3.6.1.8|3.6.1.15|3.6.3.1|3.6.3.2|3.6.3.3|3.6.3.4||3.6.3.5|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.4.1|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13","1","ATP phosphohydrolase"
"R00087","C00002|C00001","C00020|C00013","1","3.6.1.8","1","ATP diphosphohydrolase (diphosphate-forming)|ATP diphosphohydrolase (diphosphate-forming)|ATP pyrophosphohydrolase"
"R00088","C00002|C00001","C00081|C00014","1","3.5.4.18","0","ATP aminohydrolase"
"R00089","C00002","C00575|C00013","1","4.6.1.1","1","ATP diphosphate-lyase (cyclizing 3',5'-cyclic-AMP-forming)"
"R00090","C00027|C00004|C00080","C00003|C00001","1","1.11.1.1","0","NADH:hydrogen-peroxide oxidoreductase"
"R00091","C00003|C00010","C02015|C00004|C00080","1","","0","CoA:NAD+ oxidoreductase"
"R00092","C00003|C14818","C00004|C00080|C14819","1","1.16.1.7","0","Fe2+:NAD+ oxidoreductase|Fe2+:NAD+ oxidoreductase|NADH:Fe3+ oxidoreductase"
"R00093","C00025|C00003","C00064|C00026|C00004|C00080","1","1.4.1.14","5","L-glutamate:NAD+ oxidoreductase (transaminating)"
"R00094","C00051|C00003","C00127|C00004|C00080","1","1.8.1.7","0","glutathione:NAD+ oxidoreductase"
"R00095","C00003|C00072","C00004|C01041|C00080","1","1.6.5.4","2","NADH:monodehydroascorbate oxidoreductase"
"R00097","C00003|C00541|C00001|C00080","C00004|C00992","1","1.16.1.3","1","NADH:cob(III)alamine oxidoreductase"
"R00099","C00003|C00853","C00004|C00080|C00541","1","1.16.1.4","1","cob(I)alamin:NAD+ oxidoreductase|cob(I)alamin:NAD+ oxidoreductase|NADH:cob(II)alamin oxidoreductase"
"R00100","C00004|C00996","C00003|C00999|C00080","1","1.6.2.2","2","NADH:ferricytochrome-b5 oxidoreductase"
"R00101","C00004|C02683","C00003|C02685|C00080","1","1.6.2.6","0","NADH:ferrileghemoglobin oxidoreductase"
"R00102","C00003|C00001","C00153|C00301","1","3.2.2.5|3.2.2.6|3.5.1.-","2","NAD+ glycohydrolase"
"R00103","C00003|C00001","C00020|C00455","1","3.6.1.9|3.6.1.22","1","NAD+ phosphohydrolase"
"R00104","C00002|C00003","C00008|C00006","1","2.7.1.23","2","ATP:NAD+ 2'-phosphotransferase"
"R00105","C00002|C00004","C00008|C00005","1","2.7.1.86","0","ATP:NADH 2'-phosphotransferase"
"R00106","C00005|C00923","C00006|C00924|C00080","1","1.6.2.4","0","NADPH:ferricytochrome oxidoreductase"
"R00107","C00005|C00992","C00006|C00541|C00001|C00080","1","1.16.1.5","1","cob(II)alamin:NADP+ oxidoreductase|cob(II)alamin:NADP+ oxidoreductase|NADPH:aquacob(III)alamin oxidoreductase"
"R00108","C00005|C00997","C00006|C01000|C00080","1","1.6.2.5","0","NADPH:ferricytochrome-c2 oxidoreductase"
"R00109","C00005|C02683","C00006|C02685|C00080","1","1.6.2.6","0","NADPH:ferrileghemoglobin oxidoreductase"
"R00111","C00005|C05933|C00007|C00080","C00006|C00533|C00327|C00001","1","1.14.13.39|1.14.13.165","1","N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase (nitric-oxide-forming)"
"R00112","C00005|C00003","C00006|C00004","1","1.6.1.1|1.6.1.2|1.6.1.3","2","NADPH:NAD+ oxidoreductase"
"R00113","C00027|C00005|C00080","C00006|C00001","1","1.11.1.2","0","NADPH:hydrogen-peroxide oxidoreductase"
"R00114","C00025|C00006","C00064|C00026|C00005|C00080","1","1.4.1.13","6","L-Glutamate:NADP+ oxidoreductase (transaminating)"
"R00115","C00051|C00006","C00127|C00005|C00080","1","1.8.1.7","1","glutathione:NADP+ oxidoreductase"
"R00118","C00006|C00001","C00009|C00003","1","3.1.3.-","1","NADP+ 2'-phosphohydrolase"
"R00119","C00006|C00253","C00153|C13051","1","2.4.99.20","1","NADP+:nicotinate ADP-ribosyltransferase"
"R00120","C00007|C00051","C00127|C00027","1","1.8.3.3","1","glutathione:oxygen oxidoreductase"
"R00122","C00008|C00001","C00020|C00009","1","3.6.1.5","1","ADP phosphohydrolase"
"R00123","C00008|C00001","C00104|C00014","1","3.5.4.7","0","ADP aminohydrolase"
"R00124","C00002|C00008","C00008|C00002","1","2.7.4.6","3","ATP:ADP phosphatransferase"
"R00125","C01260|C00001","C00008","1","3.6.1.41","1","P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase"
"R00126","C00008|C00002","C00009|C01260","1","2.7.7.53","1","ADP:ATP adenylyltransferase"
"R00127","C00002|C00020","C00008","1","2.7.4.3","3","ATP:AMP phosphotransferase"
"R00128","C03483|C00001","C00002|C00009","1","3.6.1.14","1","Adenosine-tetraphosphate phosphohydrolase"
"R00129","C00002|C04856","C00008|C00009|C00004","1","4.2.1.93","0","(6S)-6beta-hydroxy-1,4,5,6-tetrahydronicotinamide-adenine dinucleotide hydro-lyase (ATP-hydrolysing, NADH-forming)"
"R00130","C00002|C00882","C00008|C00010","1","2.7.1.24","2","ATP:dephospho-CoA 3'-phosphotransferase"
"R00131","C00086|C00001","C00011|C00014","1","3.5.1.5","5","Urea amidohydrolase"
"R00132","C01353","C00011|C00001","1","4.2.1.1","0","carbonate hydro-lyase (carbon-dioxide-forming)|carbonate hydro-lyase (carbon-dioxide-forming)|carbonic acid hydro-lyase"
"R00134","C00058|C00006","C00011|C00005|C00080","1","1.2.1.43","5","formate:NADP+ oxidoreductase"
"R00135","C00012|C00001","C00148|C00012","1","3.4.11.5","1",""
"R00137","C00002|C00455","C00013|C00003","1","2.7.7.1|2.7.7.18","2","ATP:nicotinamide-nucleotide adenylyltransferase"
"R00138","C00536|C00001","C00013|C00009","1","3.6.1.25","0","Triphosphate phosphohydrolase"
"R00139","C11038|C00002","C11039|C00008","1","2.7.4.6","1","ATP:2'-deoxy-5-hydroxymethylcytidine-5'-diphosphate phosphotransferase"
"R00140","C11038|C00008","C03997|C00002","1","2.7.4.12","1","ATP:5-hydroxymethyldeoxycytidylate phosphotransferase"
"R00141","C00002|C00014","C00008|C02306","1","2.7.3.8","0","ATP:ammonia phosphotransferase"
"R00143","C00014|C00003|C00001","C00192|C00004|C00080","1","1.7.1.10|1.7.99.1","1","ammonia:NAD+ oxidoreductase|ammonia:NAD+ oxidoreductase|NADH:hydroxylamine oxidoreductase"
"R00145","C05167|C00001|C00003","C00161|C00014|C00004|C00080","1","1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4||1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20","0","alpha-amino acid:NAD+ oxidoreductase (deaminating)"
"R00146","C05167|C00001|C00006","C00161|C00014|C00005|C00080","1","1.4.1.1|1.4.1.2|1.4.1.3|1.4.1.4||1.4.1.5|1.4.1.7|1.4.1.8|1.4.1.9|1.4.1.10|1.4.1.12|1.4.1.15|1.4.1.19|1.4.1.20","0","alpha-amino acid:NADP+ oxidoreductase (deaminating)"
"R00148","C00014|C00007|C00390","C00192|C00001|C00399","1","1.14.99.39","2","ammonia,ubiquinol:oxygen oxidoreductase|ammonia,ubiquinol:oxygen oxidoreductase|ammonia monooxygenase"
"R00149","C00002|C00014|C00011|C00001","C00008|C00009|C00169","1","6.3.4.16","7","Carbon-dioxide:ammonia ligase (ADP-forming,carbamate-phosphorylating)"
"R00150","C00002|C00014|C00011","C00008|C00169","1","2.7.2.2","4","ATP:carbamate phosphotransferase"
"R00152","C01326|C00001","C00014|C00058","1","3.5.5.-","1","hydrogen cyanide aminohydrolase"
"R00153","C05361|C05359|C00080","C00014","1","1.18.6.1","0","Reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing)"
"R00155","C00015|C00001","C00105|C00009","1","3.6.1.5|3.6.1.6","1","UDP phosphohydrolase"
"R00156","C00002|C00015","C00008|C00075","1","2.7.4.6","2","ATP:UDP phosphotransferase"
"R00157","C00075|C00020","C00015|C00008","1","2.7.4.10","0","Uridine triphosphate:AMP phosphotransferase|Uridine triphosphate:AMP phosphotransferase|UTP:AMP phosphotransferase"
"R00158","C00002|C00105","C00008|C00015","1","2.7.4.4|2.7.4.14|2.7.4.22","2","ATP:UMP phosphotransferase"
"R00159","C00075|C00001","C00015|C00009","1","3.6.1.5|3.6.1.39","1","UTP phosphohydrolase"
"R00160","C00016|C00001","C00020|C00061","1","3.6.1.9|3.6.1.18","1","FAD nucleotidohydrolase"
"R00161","C00002|C00061","C00013|C00016","1","2.7.7.2","2","ATP:FMN adenylyltransferase"
"R00162","C00002|C00017","C00008|C00562","1","2.7.11.1|2.7.11.8|2.7.11.9|2.7.11.10||2.7.11.11|2.7.11.12|2.7.11.13|2.7.11.17|2.7.11.21|2.7.11.22|2.7.11.24|2.7.11.25|2.7.11.30|2.7.12.1|2.7.12.2","0","ATP:protein phosphotransferase|ATP:protein phosphotransferase|ATP:protein phosphotransferase (Ca2+/calmodulin-dependent)"
"R00164","C00562|C00001","C00017|C00009","1","3.1.3.16","0","Phosphoprotein phosphohydrolase"
"R00165","C00017","C00886","1","","0",""
"R00166","C00017","C02047","1","","0",""
"R00167","C02163","C00613","1","","0",""
"R00168","C00017","C02554","1","","0",""
"R00169","C00017","C02987","1","","0",""
"R00170","C00017","C03127","1","","0",""
"R00172","C00017","C05336","1","","0",""
"R00173","C00018|C00001","C00250|C00009","1","3.1.3.74","2","pyridoxal-5'-phosphate phosphohydrolase"
"R00174","C00002|C00250","C00008|C00018","1","2.7.1.35","2","ATP:pyridoxal 5'-phosphotransferase"
"R00175","C00019|C00001","C00170|C00263","1","3.3.1.2","0","S-Adenosyl-L-methionine hydrolase"
"R00177","C00009|C00013|C00019","C00002|C00073|C00001","1","2.5.1.6","4","ATP:L-methionine S-adenosyltransferase"
"R00178","C00019|C00080","C01137|C00011","1","4.1.1.50","3","S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]"
"R00179","C00019","C01234|C00170","1","4.4.1.14","3","S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)"
"R00180","C00019","C00170|C02926","1","2.5.1.4","0","S-Adenosyl-L-methionine alkyltransferase (cyclizing)"
"R00181","C00020|C00001","C00130|C00014","1","3.5.4.6|3.5.4.17","3","AMP aminohydrolase"
"R00182","C00020|C00001","C00147|C00117","1","3.2.2.4","1","AMP phosphoribohydrolase"
"R00183","C00020|C00001","C00212|C00009","1","3.1.3.5","2","adenosine 5'-monophosphate phosphohydrolase"
"R00184","C01260|C00001","C00002|C00020","1","3.6.1.17|3.6.1.61","1","P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase"
"R00185","C00002|C00212","C00008|C00020","1","2.7.1.20|2.7.1.74","2","ATP:adenosine 5'-phosphotransferase"
"R00187","C06197|C00001","C00008|C00020","1","3.6.1.29","1","P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase"
"R00188","C00054|C00001","C00020|C00009","1","3.1.3.7","0","Adenosine 3',5'-bisphosphate 3'-phosphohydrolase"
"R00189","C00002|C00857|C00014","C00020|C00013|C00003","1","6.3.1.5|6.3.5.1","2","deamido-NAD+:ammonia ligase (AMP-forming)"
"R00190","C00020|C00013","C00147|C00119","1","2.4.2.7|2.4.2.8","2","AMP:diphosphate phospho-D-ribosyltransferase"
"R00191","C00575|C00001","C00020","1","3.1.4.17|3.1.4.53","1","adenosine 3',5'-phosphate 5'-nucleotidohydrolase"
"R00192","C00021|C00001","C00212|C00155","1","3.3.1.1","2","S-Adenosyl-L-homocysteine hydrolase"
"R00193","C00021|C00001","C03431|C00014","1","3.5.4.28","0","S-Adenosyl-L-homocysteine aminohydrolase"
"R00194","C00021|C00001","C03539|C00147","1","3.2.2.9","3","S-Adenosyl-L-homocysteine homocysteinylribohydrolase"
"R00195","C06393|C00001","C00022|C00014","1","4.3.1.15","0","2,3-diaminopropanoate ammonia-lyase (adding water pyruvate-forming)"
"R00196","C00186|C00125","C00022|C00126|C00080","1","1.1.2.3","2","(S)-Lactate:ferricytochrome-c 2-oxidoreductase"
"R00197","C00256|C00125","C00022|C00126|C00080","1","1.1.2.4","1","(R)-Lactate:ferricytochrome-c 2-oxidoreductase"
"R00198","C00256|C01070","C00022|C01071|C00080","1","1.1.2.5","1","(R)-Lactate:ferricytochrome-c-553 2-oxidoreductase"
"R00199","C00002|C00022|C00001","C00020|C00074|C00009","1","2.7.9.2","6","ATP:pyruvate,water phosphotransferase"
"R00200","C00002|C00022","C00008|C00074","1","2.7.1.40","8","ATP:pyruvate 2-O-phosphotransferase"
"R00203","C00546|C00003|C00001","C00022|C00004|C00080","1","1.2.1.22|1.2.1.23","1","pyruvaldehyde:NAD+ oxidoreductase|pyruvaldehyde:NAD+ oxidoreductase|2-oxopropanal:NAD+ oxidoreductase"
"R00205","C00546|C00006|C00001","C00022|C00005|C00080","1","1.2.1.49","1","2-Oxopropanal:NADP+ oxidoreductase"
"R00206","C00002|C00022|C00009","C00020|C00074|C00013","1","2.7.9.1","6","ATP:pyruvate,phosphate phosphotransferase"
"R00207","C00022|C00009|C00007","C00227|C00027|C00011","1","1.2.3.3","2","Pyruvate:oxygen 2-oxidoreductase (phosphorylating)"
"R00208","C00074|C00001","C00022|C00009","1","3.1.3.60","0","Phosphoenolpyruvate phosphohydrolase"
"R00209","C00022|C00010|C00003","C00024|C00011|C00004|C00080","1","1.2.4.1|1.8.1.4|2.3.1.12","2","pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)|pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)|pyruvate dehydrogenase complex"
"R00210","C00022|C00010|C00006","C00024|C00011|C00005|C00080","1","1.2.1.51","0","pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)"
"R00211","C00022|C00010|C00007","C00027|C00024|C00011","1","1.2.3.6","1","pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)"
"R00212","C00024|C00058","C00010|C00022","1","2.3.1.54","3","Acetyl-CoA:formate C-acetyltransferase"
"R00213","C03015|C00001","C00022|C00014|C00011","1","4.3.1.13","0","O-carbamoyl-L-serine ammonia-lyase (decarboxylating pyruvate-forming)"
"R00214","C00149|C00003","C00022|C00011|C00004|C00080","1","1.1.1.38|1.1.1.39","5","(S)-malate:NAD+ oxidoreductase (decarboxylating)"
"R00215","C00497|C00003","C00022|C00011|C00004|C00080","1","1.1.1.83","1","(R)-Malate:NAD+ oxidoreductase (decarboxylating)"
"R00216","C00149|C00006","C00022|C00011|C00005|C00080","1","1.1.1.40","5","(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)"
"R00217","C00036","C00022|C00011","1","1.1.1.38|1.1.1.40|4.1.1.3","2","oxaloacetate carboxy-lyase (pyruvate-forming)"
"R00218","C03248|C00001","C00022|C00011","1","4.1.1.78","1","acetylenedicarboxylate carboxy-lyase (pyruvate-forming)"
"R00219","C00022|C00011","C03981","1","4.1.1.-","1","2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-forming)"
"R00220","C00065","C00022|C00014","1","4.3.1.17|4.3.1.19","5","L-serine ammonia-lyase"
"R00221","C00740","C00022|C00014","1","4.3.1.18","1","D-serine ammonia-lyase"
"R00223","C00716","C00022|C00014","1","4.3.1.15","0","serine ammonia-lyase (pyruvate-forming)"
"R00224","C00022","C00084|C00011","1","4.1.1.1","0","pyruvate carboxy-lyase (acetaldehyde-forming)"
"R00226","C06010|C00011","C00022","1","2.2.1.6","7","pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|pyruvate:pyruvate acetaldehydetransferase (decarboxylating)|(S)-2-acetolactate pyruvate-lyase (carboxylating)"
"R00227","C00024|C00001","C00010|C00033","1","3.1.2.1","1","Acetyl-CoA hydrolase"
"R00228","C00084|C00010|C00003","C00024|C00004|C00080","1","1.2.1.10","8","acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)"
"R00229","C00002|C00033|C00010","C00008|C00024|C00009","1","6.2.1.13","4","Acetate:CoA ligase (ADP-forming)"
"R00230","C00024|C00009","C00010|C00227","1","2.3.1.8","7","acetyl-CoA:phosphate acetyltransferase"
"R00233","C00083","C00024|C00011","1","4.1.1.9","3","malonyl-CoA carboxy-lyase (acetyl-CoA-forming)"
"R00234","C00024|C00012","C00010|C03011","1","2.3.1.88","0","Acetyl-CoA:peptide Nalpha-acetyltransferase"
"R00235","C00002|C00033|C00010","C00020|C00013|C00024","1","6.2.1.1","7","Acetate:CoA ligase (AMP-forming)"
"R00236","C05993|C00010","C00020|C00024","1","6.2.1.1","1","acetyl adenylate:CoA acetyltransferase"
