"Pathway ID","Pathway KEGG","Reaction KEGG ID"
"4","map00051","R03772"
"4","map00051","R03774"
"4","map00051","R03942"
"4","map00051","R04076"
"4","map00051","R04779"
"4","map00051","R04780"
"4","map00051","R05607"
"4","map00051","R05692"
"4","map00051","R05768"
"4","map00051","R05790"
"4","map00051","R05816"
"4","map00051","R05820"
"4","map00051","R08926"
"4","map00051","R09030"
"4","map00051","R09031"
"4","map00051","R09666"
"4","map00051","R10689"
"4","map00051","R10690"
"4","map00051","R10691"
"5","map00052","R00289"
"5","map00052","R00291"
"5","map00052","R00502"
"5","map00052","R00503"
"5","map00052","R00505"
"5","map00052","R00506"
"5","map00052","R00801"
"5","map00052","R00955"
"5","map00052","R00959"
"5","map00052","R01064"
"5","map00052","R01069"
"5","map00052","R01092"
"5","map00052","R01093"
"5","map00052","R01094"
"5","map00052","R01095"
"5","map00052","R01096"
"5","map00052","R01097"
"5","map00052","R01098"
"5","map00052","R01101"
"5","map00052","R01103"
"5","map00052","R01104"
"5","map00052","R01105"
"5","map00052","R01192"
"5","map00052","R01194"
"5","map00052","R01329"
"5","map00052","R01678"
"5","map00052","R01786"
"5","map00052","R01788"
"5","map00052","R02410"
"5","map00052","R02411"
"5","map00052","R02926"
"5","map00052","R02927"
"5","map00052","R02928"
"5","map00052","R03033"
"5","map00052","R03034"
"5","map00052","R03236"
"5","map00052","R03237"
"5","map00052","R03238"
"5","map00052","R03239"
"5","map00052","R03240"
"5","map00052","R03256"
"5","map00052","R03387"
"5","map00052","R03418"
"5","map00052","R03634"
"5","map00052","R03635"
"5","map00052","R04393"
"5","map00052","R05168"
"5","map00052","R05549"
"5","map00052","R05570"
"5","map00052","R05571"
"5","map00052","R08365"
"5","map00052","R08366"
"5","map00052","R08367"
"5","map00052","R08544"
"5","map00052","R10604"
"5","map00052","R10616"
"5","map00052","R10619"
"6","map00053","R00068"
"6","map00053","R00095"
"6","map00053","R00264"
"6","map00053","R00286"
"6","map00053","R00640"
"6","map00053","R00643"
"6","map00053","R00645"
"6","map00053","R00646"
"6","map00053","R00647"
"6","map00053","R00889"
"6","map00053","R01108"
"6","map00053","R01184"
"6","map00053","R01381"
"6","map00053","R01476"
"6","map00053","R01481"
"6","map00053","R01483"
"6","map00053","R01757"
"6","map00053","R01784"
"6","map00053","R02278"
"6","map00053","R02279"
"6","map00053","R02522"
"6","map00053","R02526"
"6","map00053","R02637"
"6","map00053","R02639"
"6","map00053","R02752"
"6","map00053","R02754"
"6","map00053","R02933"
"6","map00053","R02957"
"6","map00053","R03183"
"6","map00053","R03184"
"6","map00053","R03185"
"6","map00053","R03186"
"6","map00053","R03244"
"6","map00053","R03277"
"6","map00053","R03733"
"6","map00053","R04515"
"6","map00053","R04784"
"6","map00053","R04785"
"6","map00053","R05608"
"6","map00053","R05850"
"6","map00053","R07125"
"6","map00053","R07127"
"6","map00053","R07671"
"6","map00053","R07672"
"6","map00053","R07673"
"6","map00053","R07674"
"6","map00053","R07675"
"6","map00053","R07676"
"6","map00053","R07677"
"6","map00053","R07678"
"6","map00053","R07679"
"6","map00053","R07680"
"6","map00053","R08056"
"6","map00053","R08615"
"6","map00053","R09540"
"6","map00053","R10841"
"6","map00053","R10846"
"6","map00053","R10847"
"7","map00061","R00742"
"7","map00061","R01280"
"7","map00061","R01624"
"7","map00061","R01626"
"7","map00061","R01706"
"7","map00061","R02663"
"7","map00061","R02814"
"7","map00061","R03175"
"7","map00061","R03370"
"7","map00061","R04014"
"7","map00061","R04098"
"7","map00061","R04355"
"7","map00061","R04428"
"7","map00061","R04429"
"7","map00061","R04430"
"7","map00061","R04533"
"7","map00061","R04534"
"7","map00061","R04535"
"7","map00061","R04536"
"7","map00061","R04537"
"7","map00061","R04543"
"7","map00061","R04544"
"7","map00061","R04566"
"7","map00061","R04568"
"7","map00061","R04724"
"7","map00061","R04725"
"7","map00061","R04726"
"7","map00061","R04952"
"7","map00061","R04953"
"7","map00061","R04954"
"7","map00061","R04955"
"7","map00061","R04956"
"7","map00061","R04957"
"7","map00061","R04958"
"7","map00061","R04959"
"7","map00061","R04960"
"7","map00061","R04961"
"7","map00061","R04962"
"7","map00061","R04963"
"7","map00061","R04964"
"7","map00061","R04965"
"7","map00061","R04966"
